ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,STEV_UCENCEV,DOGODEK,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Zasebni vrtec Zarja d.o.o.,Zasebni vrtec Zarja d.o.o.,Osrednjeslovenska,Kamnik,2021-02-09,2021-02-11,2021-02-15,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,kratko,2021_7
Vrtec Črnuče,"Vrtec Črnuče, ENOTA OSTRŽEK",Osrednjeslovenska,Ljubljana,2021-02-11,2021-02-21,2021-02-15,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Vrtec Sežana,"Vrtec Sežana, enota Hrpelje",Obalno-kraška,Hrpelje-Kozina,2021-02-10,2021-02-19,2021-02-15,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Osnovna šola Roje,Osnovna šola Roje,Osrednjeslovenska,Domžale,2021-02-15,2021-02-20,2021-02-15,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_7
Osnovna šola Milojke Štrukelj Nova Gorica,"Osnovna šola Milojke Štrukelj Nova Gorica, Podružnična osnovna šola Ledine",Goriška,Nova Gorica,2021-02-12,2021-02-19,2021-02-15,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_7
Osnovna šola Roje,Osnovna šola Roje,Osrednjeslovenska,Domžale,2021-02-15,2021-02-20,2021-02-15,OSTALO,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_7
Glasbena šola Domžale,Glasbena šola Domžale,Osrednjeslovenska,Domžale,2021-02-15,2021-02-21,2021-02-15,GLASBENA ŠOLA,srednje,"Pouk poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",Sum na okužbo s Covid-19 pri učitelju,kratko,2021_7
Osnovna šola Dragotina Ketteja Ilirska Bistrica,Osnovna šola Dragotina Ketteja Ilirska Bistrica,Primorsko-notranjska,Ilirska Bistrica,2021-02-15,2021-02-20,2021-02-15,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_7
Osnovna šola Milojke Štrukelj Nova Gorica,"Osnovna šola Milojke Štrukelj Nova Gorica, Podružnična osnovna šola Ledine",Goriška,Nova Gorica,2021-02-15,2021-02-19,2021-02-15,OSNOVNA ŠOLA,srednje,"Pouk poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",Okužba s Covid-19 pri učitelju,kratko,2021_7
Osnovna šola dr. Ivana Korošca Borovnica,Osnovna šola dr. Ivana Korošca Borovnica,Osrednjeslovenska,Borovnica,2021-02-10,2021-02-19,2021-02-15,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Solkan,"Osnovna šola Solkan, Podružnica Trnovo",Goriška,Nova Gorica,2021-02-15,2021-02-19,2021-02-15,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,kratko,2021_7
Osnovna šola dr. Ivana Korošca Borovnica,Osnovna šola dr. Ivana Korošca Borovnica,Osrednjeslovenska,Borovnica,2021-02-10,2021-02-19,2021-02-15,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Zasebni vrtec Kobacaj,"Zasebni vrtec Kobacaj, enota Mlačevo",Osrednjeslovenska,Grosuplje,2021-02-16,2021-02-21,2021-02-15,VRTEC,srednje,Otroci oddelka so v domači karanteni,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,kratko,2021_7
Osnovna šola Miška Kranjca Velika Polana,Osnovna šola Miška Kranjca Velika Polana,Pomurska,Velika Polana,2021-02-05,2021-02-10,2021-02-15,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo pri delavcu,kratko,2021_7
Vrtec Domžale,"Vrtec Domžale, Enota Racman",Osrednjeslovenska,Domžale,2021-02-12,2021-02-22,2021-02-15,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Vrtec Murska Sobota,"Vrtec Murska Sobota, enota VEVERIČKA",Pomurska,Murska Sobota,2021-02-15,2021-02-24,2021-02-15,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Osnovna šola Riharda Jakopiča Ljubljana,Osnovna šola Riharda Jakopiča Ljubljana,Osrednjeslovenska,Ljubljana,2021-02-15,2021-02-19,2021-02-15,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_7
Vrtec Dr. France Prešeren,"Vrtec Dr. France Prešeren, enota Puharjeva",Osrednjeslovenska,Ljubljana,2021-02-13,2021-02-22,2021-02-15,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Vrtec Vodmat,"Vrtec Vodmat, enota KLINIČNI CENTER",Osrednjeslovenska,Ljubljana,2021-02-09,2021-02-10,2021-02-15,VRTEC,malo,Otroci oddelka so v domači karanteni,Sum na okužbo s Covid-19 pri učitelju,kratko,2021_7
Osnovna šola Hinka Smrekarja Ljubljana,Osnovna šola Hinka Smrekarja Ljubljana,Osrednjeslovenska,Ljubljana,2021-02-10,2021-02-19,2021-02-15,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Vrtec Murska Sobota,"Vrtec Murska Sobota, enota Srnica",Pomurska,Murska Sobota,2021-02-15,2021-02-24,2021-02-15,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Osnovna šola Stara Cerkev,Osnovna šola Stara Cerkev,Jugovzhodna Slovenija,Kočevje,2021-02-15,2021-02-25,2021-02-15,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Franca Rozmana - Staneta Ljubljana,Osnovna šola Franca Rozmana - Staneta Ljubljana,Osrednjeslovenska,Ljubljana,2021-02-15,2021-02-19,2021-02-15,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_7
Vrtec Domžale,"Vrtec Domžale, Enota Racman",Osrednjeslovenska,Domžale,2021-02-09,2021-02-19,2021-02-15,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba pri delavcu,srednje,2021_7
Vrtec Vodmat,Vrtec Vodmat,Osrednjeslovenska,Ljubljana,2021-02-09,2021-02-11,2021-02-15,VRTEC,malo,Otroci oddelka so v domači karanteni,Sum na okužbo s Covid-19 pri učitelju,kratko,2021_7
Osnovna šola Miška Kranjca Velika Polana,Osnovna šola Miška Kranjca Velika Polana,Pomurska,Velika Polana,2021-02-04,2021-02-10,2021-02-15,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo pri delavcu,kratko,2021_7
Osnovna šola Cerkvenjak - Vitomarci,"Osnovna šola Cerkvenjak - Vitomarci, Enota Vrtec Cerkvenjak",Podravska,Cerkvenjak,2021-02-13,2021-02-23,2021-02-15,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba pri delavcu,srednje,2021_7
"Center za vzgojo, izobraževanje in usposabljanje Velenje","Center za vzgojo, izobraževanje in usposabljanje Velenje",Savinjska,Velenje,2021-02-09,2021-02-18,2021-02-15,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_7
Osnovna šola F. S. Finžgarja Lesce,Osnovna šola F. S. Finžgarja Lesce,Gorenjska,Radovljica,2021-02-10,2021-02-18,2021-02-15,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Stična,"Osnovna šola Stična, Podružnična šola Zagradec",Osrednjeslovenska,Ivančna Gorica,2021-02-15,2021-02-25,2021-02-15,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_7
Osnovna šola Helene Puhar Kranj,Osnovna šola Helene Puhar Kranj,Gorenjska,Kranj,2021-02-15,2021-02-17,2021-02-15,OSTALO,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_7
Osnovna šola Šenčur,Osnovna šola Šenčur,Gorenjska,Šenčur,2021-02-13,2021-02-22,2021-02-15,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_7
Osnovna šola Šenčur,"Osnovna šola Šenčur, Enota Vrtec",Gorenjska,Šenčur,2021-02-12,2021-02-21,2021-02-15,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Miška Kranjca Velika Polana,Osnovna šola Miška Kranjca Velika Polana,Pomurska,Velika Polana,2021-02-04,2021-02-10,2021-02-15,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo pri delavcu,kratko,2021_7
Osnovna šola Čepovan,"Osnovna šola Čepovan, Vrtec Čepovan",Goriška,Nova Gorica,2021-02-09,2021-02-18,2021-02-16,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Mladinski dom Jarše Ljubljana,Mladinski dom Jarše Ljubljana,Osrednjeslovenska,Ljubljana,2021-02-12,2021-02-19,2021-02-16,OSTALO,malo,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,srednje,2021_7
Osnovna šola Trnovo,Osnovna šola Trnovo,Osrednjeslovenska,Ljubljana,2021-02-15,2021-02-24,2021-02-16,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola dr. Bogomirja Magajne Divača,Osnovna šola dr. Bogomirja Magajne Divača,Obalno-kraška,Divača,2021-02-17,2021-02-24,2021-02-16,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_7
Osnovna šola Trnovo,Osnovna šola Trnovo,Osrednjeslovenska,Ljubljana,2021-02-12,2021-02-21,2021-02-16,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Glasbena šola Ljubljana Vič - Rudnik,Glasbena šola Ljubljana Vič - Rudnik,Osrednjeslovenska,Ljubljana,2021-02-10,2021-02-19,2021-02-16,GLASBENA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učitelju,srednje,2021_7
VIZ VRTEC MAVRICA IZOLA,VIZ VRTEC MAVRICA IZOLA ENOTA ŠKOLJKA,Obalno-kraška,Izola,2021-02-10,2021-02-19,2021-02-16,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Osnovna šola Koper,Osnovna šola Koper,Obalno-kraška,Koper,2021-02-16,2021-02-26,2021-02-16,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Horjul,Osnovna šola Horjul,Osrednjeslovenska,Horjul,2021-02-09,2021-02-12,2021-02-16,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učitelju,kratko,2021_7
Vrtec Ciciban,"Vrtec Ciciban, Enota Lenka",Osrednjeslovenska,Ljubljana,2021-02-16,2021-02-25,2021-02-16,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Vzgojno izobraževalni zavod Vrtec Ormož,"Vzgojnoizobraževalni zavod vrtec Ormož, enota Velika Nedelja",Podravska,Ormož,2021-02-15,2021-02-24,2021-02-16,VRTEC,malo,Otroci oddelka so v domači karanteni,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Vrtec Črnuče,"Vrtec Črnuče, ENOTA SONČEK",Osrednjeslovenska,Ljubljana,2021-02-11,2021-02-20,2021-02-16,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Vrtec Škratek Svit Vodice,"Vrtec Škratek Svit Vodice, enota Utik",Osrednjeslovenska,Vodice,2021-02-16,2021-02-21,2021-02-16,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,kratko,2021_7
Vzgojno izobraževalni zavod Vrtec Ormož,Vzgojno izobraževalni zavod Vrtec Ormož,Podravska,Ormož,2021-02-09,2021-02-18,2021-02-16,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Vrtec Semedela,"Vrtec Semedela, enota Markovec",Obalno-kraška,Koper,2021-02-15,2021-02-24,2021-02-16,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba pri delavcu,srednje,2021_7
Osnovna šola Louisa Adamiča Grosuplje,Osnovna šola Louisa Adamiča Grosuplje Podružnica Žalna,Osrednjeslovenska,Grosuplje,2021-02-14,2021-02-22,2021-02-16,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_7
Vrtec Tržič,"Vrtec Tržič, enota Deteljica",Gorenjska,Tržič,2021-02-12,2021-02-21,2021-02-16,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Osnovna šola Louisa Adamiča Grosuplje,Osnovna šola Louisa Adamiča Grosuplje,Osrednjeslovenska,Grosuplje,2021-02-16,2021-02-26,2021-02-16,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Pivka,VRTEC PRI OŠ PIVKA,Primorsko-notranjska,Pivka,2021-02-15,2021-02-25,2021-02-16,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba pri delavcu,srednje,2021_7
Osnovna šola Koseze,Osnovna šola Koseze,Osrednjeslovenska,Ljubljana,2021-02-14,2021-02-20,2021-02-16,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_7
Osnovna šola Koseze,Osnovna šola Koseze,Osrednjeslovenska,Ljubljana,2021-02-15,2021-02-23,2021-02-16,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Koseze,Osnovna šola Koseze,Osrednjeslovenska,Ljubljana,2021-02-15,2021-02-24,2021-02-16,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota MARJETICA",Jugovzhodna Slovenija,Novo mesto,2021-02-12,2021-02-22,2021-02-16,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Osnovna šola Koseze,Osnovna šola Koseze,Osrednjeslovenska,Ljubljana,2021-02-12,2021-02-20,2021-02-16,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Kranjski vrtci,Kranjski vrtci,Gorenjska,Kranj,2021-02-16,2021-02-26,2021-02-17,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
"Zavod Sv. Jerneja, Vrtec Blaže in Nežica","Zavod Sv. Jerneja, Vrtec Blaže in Nežica",Podravska,Slovenska Bistrica,2021-02-11,2021-02-20,2021-02-17,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Kranjski vrtci,Kranjski vrtci,Gorenjska,Kranj,2021-02-12,2021-02-21,2021-02-17,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Vrtec Šentvid,"Vrtec Šentvid, Enota Mravljinček",Osrednjeslovenska,Ljubljana,2021-02-12,2021-02-21,2021-02-17,VRTEC,srednje,Vzgojno delo poteka po prilagojenem načinu,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Vrtec Jožice Flander,"Vrtec Jožice Flander, OE Fochova",Podravska,Maribor,2021-02-16,2021-02-25,2021-02-17,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba pri delavcu,srednje,2021_7
Osnovna šola Venclja Perka,Osnovna šola Venclja Perka,Osrednjeslovenska,Domžale,2021-02-12,2021-02-21,2021-02-17,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Gimnazija Bežigrad,"Gimnazija Bežigrad, Gimnazija",Osrednjeslovenska,Ljubljana,2021-02-17,2021-02-23,2021-02-17,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2021_7
Osnovna šola Dante Alighieri Izola,Osnovna šola Dante Alighieri Izola,Obalno-kraška,Izola,2021-02-10,2021-02-20,2021-02-17,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Gimnazija Bežigrad,"Gimnazija Bežigrad, Gimnazija",Osrednjeslovenska,Ljubljana,2021-02-17,2021-02-23,2021-02-17,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2021_7
Osnovna šola dr. Ivana Korošca Borovnica,"Osnovna šola dr. Ivana Korošca Borovnica, Enota Vrtec",Osrednjeslovenska,Borovnica,2021-02-11,2021-02-20,2021-02-17,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2021_7
Vrtec Urša,"Vrtec Urša, Enota Urša",Osrednjeslovenska,Domžale,2021-02-12,2021-02-21,2021-02-17,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Vrtec Bled,"Vrtec Bled, enota Bled",Gorenjska,Bled,2021-02-15,2021-02-23,2021-02-17,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Vrtec Bled,"Vrtec Bled, enota Bled",Gorenjska,Bled,2021-02-15,2021-02-23,2021-02-17,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Vrtec Radovljica,"Vrtec Radovljica, Enota Radovljica",Gorenjska,Radovljica,2021-02-03,2021-02-12,2021-02-17,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Osnovna šola Šmartno pod Šmarno goro,Osnovna šola Šmartno pod Šmarno goro,Osrednjeslovenska,Ljubljana,2021-02-18,2021-02-24,2021-02-17,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_7
Vrtec Šentvid,"Vrtec Šentvid, Enota Mravljinček",Osrednjeslovenska,Ljubljana,2021-02-09,2021-02-18,2021-02-17,VRTEC,srednje,Vzgojno delo poteka po prilagojenem načinu,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Osnovna šola Šempas,Osnovna šola Šempas,Goriška,Nova Gorica,2021-02-17,2021-02-24,2021-02-17,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Gabrovka - Dole,Osnovna šola Gabrovka - Dole,Zasavska,Litija,2021-02-18,2021-02-25,2021-02-17,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Antona Ukmarja Koper,Osnovna šola Antona Ukmarja Koper,Obalno-kraška,Koper,2021-02-17,2021-02-26,2021-02-17,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Antona Ukmarja Koper,Osnovna šola Antona Ukmarja Koper,Obalno-kraška,Koper,2021-02-06,2021-02-16,2021-02-17,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Ljubo Šercer,Osnovna šola Ljubo Šercer,Jugovzhodna Slovenija,Kočevje,2021-02-16,2021-02-16,2021-02-17,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,kratko,2021_7
Osnovna šola prof. dr. Josipa Plemlja Bled,Osnovna šola prof. dr. Josipa Plemlja Bled,Gorenjska,Bled,2021-02-17,2021-02-27,2021-02-17,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Vrtec Radovljica,"Vrtec Radovljica, Enota Radovljica",Gorenjska,Radovljica,2021-02-15,2021-02-24,2021-02-17,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Osnovna šola Ljubo Šercer,Osnovna šola Ljubo Šercer,Jugovzhodna Slovenija,Kočevje,2021-02-16,2021-02-16,2021-02-17,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učitelju,kratko,2021_7
Šolski center Nova Gorica,"Šolski center Nova Gorica, Biotehniška šola",Goriška,Šempeter-Vrtojba,2021-02-17,2021-02-28,2021-02-17,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_7
Srednja ekonomska šola Ljubljana,Srednja ekonomska šola Ljubljana,Osrednjeslovenska,Ljubljana,2021-02-17,2021-02-24,2021-02-17,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2021_7
Osnovna šola Ljubo Šercer,Osnovna šola Ljubo Šercer,Jugovzhodna Slovenija,Kočevje,2021-02-16,2021-02-16,2021-02-17,OSTALO,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učitelju,kratko,2021_7
Osnovna šola Rodica,Osnovna šola Rodica,Osrednjeslovenska,Domžale,2021-02-17,2021-02-27,2021-02-17,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Osnovna šola Dekani,"Osnovna šola Dekani, Enota vrtec",Obalno-kraška,Koper,2021-02-15,2021-02-25,2021-02-17,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo pri delavcu,srednje,2021_7
Osnovna šola Komenda Moste,Osnovna šola Komenda Moste Podružnica Moste,Osrednjeslovenska,Komenda,2021-02-17,2021-02-25,2021-02-18,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
Vrtec Radovljica,"Vrtec Radovljica, Enota Posavec",Gorenjska,Radovljica,2021-02-16,2021-02-25,2021-02-18,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Osnovna šola Kašelj,Osnovna šola Kašelj,Osrednjeslovenska,Ljubljana,2021-02-18,2021-02-28,2021-02-18,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2021_7
"Zavod Dominik Savio Karitas Domžale, OE Vrtec Dominik Savio Karitas Domžale","Zavod Dominik Savio Karitas Domžale, OE Vrtec Dominik Savio Karitas Domžale",Osrednjeslovenska,Domžale,2021-02-11,2021-02-20,2021-02-18,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Vrtec Postojna,"Vrtec Postojna, Enota Zmajček",Primorsko-notranjska,Postojna,2021-02-12,2021-02-21,2021-02-18,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Vrtec Postojna,"Vrtec Postojna, Enota Zmajček",Primorsko-notranjska,Postojna,2021-02-17,2021-02-26,2021-02-18,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
VIZ Vrtec Mladi rod Ljubljana,"VIZ Vrtec Mladi rod Ljubljana, enota Čira čara",Osrednjeslovenska,Ljubljana,2021-02-12,2021-02-21,2021-02-18,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2021_7
Srednja tehniška šola Koper,Srednja tehniška šola Koper,Obalno-kraška,Koper,2021-02-19,2021-02-19,2021-02-18,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba pri delavcu,kratko,2021_7
Vrtec Postojna,"Vrtec Postojna, Enota Pastirček",Primorsko-notranjska,Postojna,2021-02-15,2021-02-24,2021-02-18,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2021_7
Osnovna šola Oskarja Kovačiča Škofije,Osnovna šola Oskarja Kovačiča Škofije,Obalno-kraška,Koper,2021-02-19,2021-02-19,2021-02-18,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2021_7
