ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,STEV_UCENCEV,DOGODEK,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Osnovna šola Majde Vrhovnik Ljubljana,Osnovna šola Majde Vrhovnik Ljubljana,Osrednjeslovenska,Ljubljana,2020-09-29,2020-10-08,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_40
Zavod sv. Stanislava,"Zavod sv. Stanislava, Škofijska klasična gimnazija",Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-09,2020-10-04,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_40
Osnovna šola Franceta Bevka,Osnovna šola Franceta Bevka,Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-10,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_40
Osnovna šola Antona Martina Slomška Vrhnika,Osnovna šola Antona Martina Slomška Vrhnika,Osrednjeslovenska,Vrhnika,2020-10-05,2020-10-10,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_40
Srednja ekonomska šola in gimnazija Maribor,Srednja ekonomska šola in gimnazija Maribor,Podravska,Maribor,2020-10-01,2020-10-10,2020-10-04,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_40
Srednja šola Domžale,"Srednja šola Domžale, Poklicna in strokovna šola",Osrednjeslovenska,Domžale,2020-10-05,2020-10-08,2020-10-04,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_40
Osnovna šola Mihe Pintarja - Toleda Velenje,Osnovna šola Mihe Pintarja - Toleda Velenje,Savinjska,Velenje,2020-10-01,2020-10-12,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_40
Osnovna šola Toneta Čufarja Jesenice,Osnovna šola Toneta Čufarja Jesenice,Gorenjska,Jesenice,2020-10-05,2020-10-11,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_40
Vrtec Vrhovci,"Vrtec Vrhovci, enota Tehnološki park",Osrednjeslovenska,Ljubljana,2020-09-28,2020-10-07,2020-10-04,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2020_40
Srednja šola Domžale,"Srednja šola Domžale, Poklicna in strokovna šola",Osrednjeslovenska,Domžale,2020-10-05,2020-10-07,2020-10-04,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_40
Vrtec Vrhovci,"Vrtec Vrhovci, enota Vrhovci",Osrednjeslovenska,Ljubljana,2020-09-28,2020-10-07,2020-10-04,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2020_40
Osnovna šola Janka Padežnika Maribor,Osnovna šola Janka Padežnika Maribor,Podravska,Maribor,2020-10-04,2020-10-11,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2020_40
Vrtec Vrhovci,"Vrtec Vrhovci, enota Rožnik",Osrednjeslovenska,Ljubljana,2020-09-29,2020-10-08,2020-10-04,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri otroku ali več otrocih skupine,srednje,2020_40
Šolski center Rogaška Slatina,Šolski center Rogaška Slatina,Savinjska,Rogaška Slatina,2020-10-05,2020-10-09,2020-10-05,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Osnovna šola Dušana Flisa Hoče,Osnovna šola Dušana Flisa Hoče,Podravska,Hoče-Slivnica,2020-10-02,2020-10-11,2020-10-05,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
Osnovna šola Markovci,"Osnovna šola Markovci, Enota Vrtec",Podravska,Markovci,2020-10-05,2020-10-09,2020-10-05,VRTEC,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
Osnovna šola Markovci,Osnovna šola Markovci,Podravska,Markovci,2020-10-05,2020-10-09,2020-10-05,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba pri delavcu,kratko,2020_41
Osnovna šola Markovci,Osnovna šola Markovci,Podravska,Markovci,2020-10-05,2020-10-09,2020-10-05,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_41
Gimnazija Koper,Gimnazija Koper,Obalno-kraška,Koper,2020-10-05,2020-10-10,2020-10-05,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_41
Srednja šola Jesenice,Srednja šola Jesenice,Gorenjska,Jesenice,2020-10-05,2020-10-14,2020-10-05,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_41
Osnovna šola Antona Martina Slomška Vrhnika,Osnovna šola Antona Martina Slomška Vrhnika,Osrednjeslovenska,Vrhnika,2020-10-05,2020-10-13,2020-10-05,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_41
Waldorfska šola Ljubljana,Waldorfska šola Ljubljana,Osrednjeslovenska,Ljubljana,2020-09-30,2020-10-09,2020-10-05,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2020_41
