ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Osnovna šola Antona Ingoliča Spodnja Polskava,"Osnovna šola Antona Ingoliča Spodnja Polskava, Podružnična šola Pragersko",Podravska,Slovenska Bistrica,2020-11-03,2020-11-19,2020-11-24,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2020_48
Vrtec Zagorje ob Savi,"Vrtec Zagorje ob Savi, Enota Smrkci",Zasavska,Zagorje ob Savi,2020-11-24,2020-12-04,2020-11-24,VRTEC,Sum na okužbo,srednje,2020_48
Osnovna šola Sveta Ana,"Osnovna šola Sveta Ana, Enota vrtec",Podravska,Sveta Ana,2020-11-24,2020-11-30,2020-11-24,VRTEC,Sum na okužbo,kratko,2020_48
Osnovna šola Dekani,Osnovna šola Dekani,Obalno-kraška,Koper,2020-11-24,2020-12-04,2020-11-24,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_48
Zasebni družinski vrtec Ringa raja,Zasebni družinski vrtec Ringa raja,Jugovzhodna Slovenija,Novo mesto,2020-11-23,2020-12-02,2020-11-25,VRTEC,Sum na okužbo,srednje,2020_48
Vrtec Otona Župančiča Slovenska Bistrica,"Vrtec Otona Župančiča Slovenska Bistrica, Enota Zg. Polskava",Podravska,Slovenska Bistrica,2020-11-25,2020-12-04,2020-11-25,VRTEC,Sum na okužbo,srednje,2020_48
Vrtec Ravne na Koroškem,"Vrtec Ravne na Koroškem, ENOTA LEVI DEVŽEJ",Koroška,Ravne na Koroškem,2020-11-24,2020-12-04,2020-11-25,VRTEC,Sum na okužbo,srednje,2020_48
VRTEC KURIRČEK LOGATEC,VRTEC KURIRČEK LOGATEC - ENOTA TABOR,Osrednjeslovenska,Logatec,2020-11-23,2020-12-02,2020-11-25,VRTEC,Sum na okužbo,srednje,2020_48
Zasebni družinski vrtec Ringa raja,Zasebni družinski vrtec Ringa raja,Jugovzhodna Slovenija,Novo mesto,2020-11-24,2020-12-03,2020-11-25,VRTEC,Sum na okužbo,srednje,2020_48
Osnovna šola Ob Dravinji Slovenske Konjice,Osnovna šola Ob Dravinji Slovenske Konjice,Savinjska,Slovenske Konjice,2020-11-25,2020-12-05,2020-11-25,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_48
Osnovna šola Krmelj,"Osnovna šola Krmelj, Enota Vrtec",Posavska,Sevnica,2020-11-23,2020-11-30,2020-11-25,VRTEC,Okužba s Covid-19,srednje,2020_48
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2020-11-24,2020-12-03,2020-11-25,VRTEC,Sum na okužbo,srednje,2020_48
Osnovna šola Jurija Vege,Osnovna šola Jurija Vege,Osrednjeslovenska,Moravče,2020-11-25,2020-12-05,2020-11-26,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_48
Glasbena šola Škofja Loka,Glasbena šola Škofja Loka,Gorenjska,Škofja Loka,2020-11-23,2020-12-02,2020-11-26,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_48
Vrtec Zagorje ob Savi,"Vrtec Zagorje ob Savi, Enota Ciciban",Zasavska,Zagorje ob Savi,2020-11-25,2020-12-05,2020-11-26,VRTEC,Sum na okužbo,srednje,2020_48
Vrtec Tržič,"Vrtec Tržič, enota Križe",Gorenjska,Tržič,2020-11-26,2020-12-06,2020-11-26,VRTEC,Sum na okužbo,srednje,2020_48
Vrtec La Coccinella Piran,"Vrtec La Coccinella Piran, matična enota Lucija",Obalno-kraška,Piran,2020-11-26,2020-12-06,2020-11-26,VRTEC,Sum na okužbo,srednje,2020_48
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2020-11-23,2020-12-02,2020-11-26,VRTEC,Sum na okužbo,srednje,2020_48
Vrtec Lendava Lendvai Ovoda,"Vrtec Lendava Lendvai Ovoda, DE I Lendava",Pomurska,Lendava,2020-11-25,2020-12-04,2020-11-26,VRTEC,Sum na okužbo,srednje,2020_48
Osnovna šola Vodice,Osnovna šola Vodice,Osrednjeslovenska,Vodice,2020-11-23,2020-12-03,2020-11-26,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_48
Osnovna šola Podčetrtek,"Osnovna šola Podčetrtek, Podružnična osnovna šola Pristava pri Mestinju",Savinjska,Podčetrtek,2020-11-26,2020-12-06,2020-11-26,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_48
Osnovna šola Breg,Osnovna šola Breg,Podravska,Ptuj,2020-11-24,2020-12-07,2020-11-27,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_48
Osnovna šola Ferda Vesela Šentvid pri Stični,Osnovna šola Ferda Vesela Šentvid pri Stični,Osrednjeslovenska,Ivančna Gorica,2020-11-27,2020-12-07,2020-11-27,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_48
Vrtec Morje Lucija,Vrtec Morje Lucija,Obalno-kraška,Piran,2020-11-25,2020-12-06,2020-11-27,VRTEC,Sum na okužbo,srednje,2020_48
Vrtec Ptuj,"Vrtec Ptuj, Enota Zvonček",Podravska,Ptuj,2020-11-26,2020-12-05,2020-11-29,VRTEC,Sum na okužbo,srednje,2020_48
Vrtec Mavrica Trebnje,Vrtec Mavrica Trebnje,Jugovzhodna Slovenija,Trebnje,2020-11-25,2020-12-04,2020-11-30,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Martina Krpana Ljubljana,Osnovna šola Martina Krpana Ljubljana,Osrednjeslovenska,Ljubljana,2020-11-30,2020-12-11,2020-11-30,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_49
Osnovna šola Šalovci,"Osnovna šola Šalovci, Enota Vrtca Šalovci",Pomurska,Šalovci,2020-11-30,2020-12-10,2020-11-30,VRTEC,Sum na okužbo,srednje,2020_49
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, RDEČA KAPICA",Jugovzhodna Slovenija,Novo mesto,2020-11-28,2020-12-07,2020-11-30,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Železniki,"Osnovna šola Železniki, Vrtec Železniki",Gorenjska,Železniki,2020-11-30,2020-12-10,2020-11-30,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Staneta Žagarja Kranj,Osnovna šola Staneta Žagarja Kranj,Gorenjska,Kranj,2020-11-25,2020-12-09,2020-12-01,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2020_49
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota LABOD",Jugovzhodna Slovenija,Novo mesto,2020-11-24,2020-12-04,2020-12-01,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Toneta Pavčka,"Osnovna šola Toneta Pavčka, Vrtec Cepetavček",Jugovzhodna Slovenija,Mirna Peč,2020-11-24,2020-12-01,2020-12-01,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Trbovlje,Osnovna šola Trbovlje,Zasavska,Trbovlje,2020-11-30,2020-12-10,2020-12-01,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_49
Osnovna šola Toneta Pavčka,"Osnovna šola Toneta Pavčka, Vrtec Cepetavček",Jugovzhodna Slovenija,Mirna Peč,2020-12-02,2020-12-11,2020-12-01,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Podbočje,"Osnovna šola Podbočje, Enota Vrtec",Posavska,Krško,2020-11-30,2020-12-10,2020-12-01,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Selnica ob Dravi,"Osnovna šola Selnica ob Dravi, enota Vrtec",Podravska,Selnica ob Dravi,2020-12-01,2020-12-11,2020-12-01,VRTEC,Okužba s Covid-19,srednje,2020_49
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota LABOD",Jugovzhodna Slovenija,Novo mesto,2020-11-18,2020-11-28,2020-12-01,VRTEC,Okužba s Covid-19,srednje,2020_49
Osnovna šola Toneta Pavčka,"Osnovna šola Toneta Pavčka, Vrtec Cepetavček",Jugovzhodna Slovenija,Mirna Peč,2020-11-26,2020-12-04,2020-12-01,VRTEC,Sum na okužbo,srednje,2020_49
Vrtec Mavrica Trebnje,Vrtec Mavrica Trebnje,Jugovzhodna Slovenija,Trebnje,2020-11-27,2020-12-06,2020-12-01,VRTEC,Okužba s Covid-19,srednje,2020_49
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2020-12-01,2020-12-10,2020-12-02,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Štore,"Osnovna šola Štore, Enota Vrtec Lipa",Savinjska,Štore,2020-11-27,2020-12-07,2020-12-02,VRTEC,Sum na okužbo,srednje,2020_49
Vrtec La Coccinella Piran,"Vrtec La Coccinella Piran, matična enota Lucija",Obalno-kraška,Piran,2020-11-30,2020-12-04,2020-12-02,VRTEC,Sum na okužbo,kratko,2020_49
Vrtec Mojca Ljubljana,VRTEC MOJCA ENOTA MUCA,Osrednjeslovenska,Ljubljana,2020-11-27,2020-12-05,2020-12-02,VRTEC,Sum na okužbo,srednje,2020_49
Vrtec Postojna,"Vrtec Postojna, Enota Pastirček",Primorsko-notranjska,Postojna,2020-11-27,2020-12-05,2020-12-02,VRTEC,Okužba s Covid-19,srednje,2020_49
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2020-11-26,2020-12-05,2020-12-03,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Dante Alighieri Izola,"Osnovna šola Dante Alighieri Izola, Enota Vrtec L Aquilone",Obalno-kraška,Izola,2020-11-23,2020-12-04,2020-12-03,VRTEC,Okužba s Covid-19,srednje,2020_49
Vrtec Otona Župančiča Slovenska Bistrica,"Vrtec Otona Župančiča Slovenska Bistrica, Enota Šmartno na Pohorju",Podravska,Slovenska Bistrica,2020-12-02,2020-12-08,2020-12-03,VRTEC,Sum na okužbo,kratko,2020_49
Vrtec Miškolin,"Vrtec Miškolin, Rjava cesta",Osrednjeslovenska,Ljubljana,2020-12-02,2020-12-06,2020-12-03,VRTEC,Sum na okužbo,kratko,2020_49
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, RDEČA KAPICA",Jugovzhodna Slovenija,Novo mesto,2020-12-01,2020-12-11,2020-12-03,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Dolenjske Toplice,"Osnovna šola Dolenjske Toplice, Vrtec Gumbek",Jugovzhodna Slovenija,Dolenjske Toplice,2020-12-01,2020-12-10,2020-12-03,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Dolenjske Toplice,"Osnovna šola Dolenjske Toplice, Vrtec Gumbek",Jugovzhodna Slovenija,Dolenjske Toplice,2020-12-01,2020-12-11,2020-12-03,VRTEC,Okužba s Covid-19,srednje,2020_49
Vrtec Ciciban,"Vrtec Ciciban, Enota Lenka",Osrednjeslovenska,Ljubljana,2020-12-02,2020-12-10,2020-12-03,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Draga Bajca Vipava,Osnovna šola Draga Bajca Vipava,Goriška,Vipava,2020-12-01,2020-12-11,2020-12-04,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_49
Osnovna šola Dolenjske Toplice,"Osnovna šola Dolenjske Toplice, Vrtec Gumbek",Jugovzhodna Slovenija,Dolenjske Toplice,2020-12-04,2020-12-13,2020-12-04,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Draga Bajca Vipava,Osnovna šola Draga Bajca Vipava,Goriška,Vipava,2020-12-03,2020-12-13,2020-12-04,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_49
Zasebni družinski vrtec Ringa raja,Zasebni družinski vrtec Ringa raja,Jugovzhodna Slovenija,Novo mesto,2020-11-24,2020-12-03,2020-12-04,VRTEC,Sum na okužbo,srednje,2020_49
OTROŠKI VRTEC AJDOVŠČINA,"OTROŠKI VRTEC AJDOVŠČINA, ENOTA RIBNIK",Goriška,Ajdovščina,2020-12-04,2020-12-14,2020-12-04,VRTEC,Okužba s Covid-19,srednje,2020_49
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, OSTRŽEK",Jugovzhodna Slovenija,Novo mesto,2020-12-04,2020-12-13,2020-12-04,VRTEC,Sum na okužbo,srednje,2020_49
Osnovna šola Jurija Dalmatina Krško,Osnovna šola Jurija Dalmatina Krško,Posavska,Krško,2020-11-30,2020-12-10,2020-12-06,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_49
Osnovna šola Jurija Dalmatina Krško,Osnovna šola Jurija Dalmatina Krško,Posavska,Krško,2020-12-02,2020-12-12,2020-12-06,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_49
Osnovna šola Miroslava Vilharja Postojna,Osnovna šola Miroslava Vilharja Postojna Podružnica Hruševje,Primorsko-notranjska,Postojna,2020-11-25,2020-12-05,2020-12-07,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_50
Osnovna šola Bršljin,Osnovna šola Bršljin,Jugovzhodna Slovenija,Novo mesto,2020-12-06,2020-12-16,2020-12-07,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_50
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2020-12-02,2020-12-11,2020-12-07,VRTEC,Sum na okužbo,srednje,2020_50
Osnovna šola Miroslava Vilharja Postojna,Osnovna šola Miroslava Vilharja Postojna,Primorsko-notranjska,Postojna,2020-12-04,2020-12-13,2020-12-07,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_50
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, METKA",Jugovzhodna Slovenija,Novo mesto,2020-12-05,2020-12-14,2020-12-07,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2020-12-04,2020-12-13,2020-12-07,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Mehurčki,Vrtec Mehurčki,Osrednjeslovenska,Komenda,2020-12-04,2020-12-14,2020-12-07,VRTEC,Sum na okužbo,srednje,2020_50
Osnovna šola Središče ob Dravi,"Osnovna šola Središče ob Dravi, enota Vrtec Navihanček",Podravska,Središče ob Dravi,2020-12-03,2020-12-12,2020-12-07,VRTEC,Sum na okužbo,srednje,2020_50
Osnovna šola Središče ob Dravi,Osnovna šola Središče ob Dravi,Podravska,Središče ob Dravi,2020-12-03,2020-12-12,2020-12-07,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_50
Vrtec Ravne na Koroškem,"Vrtec Ravne na Koroškem, ENOTA SOLZICE",Koroška,Ravne na Koroškem,2020-12-04,2020-12-13,2020-12-07,VRTEC,Sum na okužbo,srednje,2020_50
Javni zavod Osnovna šola Marjana Nemca Radeče,"Javni zavod Osnovna šola Marjana Nemca Radeče, Enota Vrtec",Posavska,Radeče,2020-12-04,2020-12-14,2020-12-07,VRTEC,Sum na okužbo,srednje,2020_50
Osnovna šola Danila Lokarja Ajdovščina,Osnovna šola Danila Lokarja Ajdovščina,Goriška,Ajdovščina,2020-12-07,2020-12-21,2020-12-07,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2020_50
Zavod za vzgojo in izobraževanje Logatec,Zavod za vzgojo in izobraževanje Logatec,Osrednjeslovenska,Logatec,2020-12-07,2020-12-17,2020-12-08,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_50
Vrtec Antona Medveda Kamnik,"Vrtec  Antona Medveda Kamnik, enota Cepetavček",Osrednjeslovenska,Kamnik,2020-12-08,2020-12-18,2020-12-08,VRTEC,Sum na okužbo,srednje,2020_50
Osnovna šola Miška Kranjca Velika Polana,"Osnovna šola Miška Kranjca Velika Polana, Enota Vrtec",Pomurska,Velika Polana,2020-11-30,2020-12-09,2020-12-08,VRTEC,Sum na okužbo,srednje,2020_50
OTROŠKI VRTEC AJDOVŠČINA,"OTROŠKI VRTEC AJDOVŠČINA, ENOTA OB HUBLJU",Goriška,Ajdovščina,2020-12-04,2020-12-14,2020-12-08,VRTEC,Sum na okužbo,srednje,2020_50
Zavod za vzgojo in izobraževanje Logatec,Zavod za vzgojo in izobraževanje Logatec,Osrednjeslovenska,Logatec,2020-12-02,2020-12-12,2020-12-08,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_50
Vrtec Otona Župančiča Slovenska Bistrica,"Vrtec Otona Župančiča Slovenska Bistrica, Enota Ciciban",Podravska,Slovenska Bistrica,2020-12-02,2020-12-11,2020-12-08,VRTEC,Sum na okužbo,srednje,2020_50
Zasebni vrtec Zarja d.o.o.,Zasebni vrtec Zarja d.o.o.,Osrednjeslovenska,Kamnik,2020-12-07,2020-12-15,2020-12-09,VRTEC,Sum na okužbo,srednje,2020_50
Osnovna šola Ledina,Osnovna šola Ledina,Osrednjeslovenska,Ljubljana,2020-12-04,2020-12-14,2020-12-09,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_50
Osnovna šola Hruševec Šentjur,Osnovna šola Hruševec Šentjur,Savinjska,Šentjur,2020-12-09,2020-12-23,2020-12-09,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2020_50
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2020-12-07,2020-12-16,2020-12-09,VRTEC,Sum na okužbo,srednje,2020_50
Osnovna šola Šmarjeta,"Osnovna šola Šmarjeta, Enota Vrtec Sonček",Jugovzhodna Slovenija,Šmarješke Toplice,2020-12-07,2020-12-15,2020-12-10,VRTEC,Okužba s Covid-19,srednje,2020_50
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota CICIBAN",Jugovzhodna Slovenija,Novo mesto,2020-12-04,2020-12-14,2020-12-10,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Mehurčki,Vrtec Mehurčki,Osrednjeslovenska,Komenda,2020-12-09,2020-12-19,2020-12-10,VRTEC,Okužba s Covid-19,srednje,2020_50
Osnovna šola Prebold,Osnovna šola Prebold,Savinjska,Prebold,2020-12-08,2020-12-18,2020-12-10,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_50
Osnovna šola Ferda Vesela Šentvid pri Stični,Osnovna šola Ferda Vesela Šentvid pri Stični,Osrednjeslovenska,Ivančna Gorica,2020-12-10,2020-12-20,2020-12-10,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_50
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota LABOD",Jugovzhodna Slovenija,Novo mesto,2020-12-01,2020-12-11,2020-12-10,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota CICIBAN",Jugovzhodna Slovenija,Novo mesto,2020-12-01,2020-12-11,2020-12-10,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Otona Župančiča Slovenska Bistrica,"Vrtec Otona Župančiča Slovenska Bistrica, Enota Sonček",Podravska,Slovenska Bistrica,2020-12-04,2020-12-14,2020-12-10,VRTEC,Sum na okužbo,srednje,2020_50
Osnovna šola Središče ob Dravi,Osnovna šola Središče ob Dravi,Podravska,Središče ob Dravi,2020-12-09,2020-12-18,2020-12-10,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_50
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota LABOD",Jugovzhodna Slovenija,Novo mesto,2020-11-24,2020-12-04,2020-12-10,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, RDEČA KAPICA",Jugovzhodna Slovenija,Novo mesto,2020-12-09,2020-12-18,2020-12-10,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota LABOD",Jugovzhodna Slovenija,Novo mesto,2020-12-04,2020-12-14,2020-12-10,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, OSTRŽEK",Jugovzhodna Slovenija,Novo mesto,2020-12-10,2020-12-19,2020-12-10,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota CICIBAN",Jugovzhodna Slovenija,Novo mesto,2020-12-04,2020-12-14,2020-12-10,VRTEC,Okužba s Covid-19,srednje,2020_50
Vrtec Nazaret,Vrtec Nazaret,Osrednjeslovenska,Ljubljana,2020-12-06,2020-12-16,2020-12-10,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, OSTRŽEK",Jugovzhodna Slovenija,Novo mesto,2020-12-08,2020-12-17,2020-12-11,VRTEC,Okužba s Covid-19,srednje,2020_50
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, OSTRŽEK",Jugovzhodna Slovenija,Novo mesto,2020-12-08,2020-12-17,2020-12-11,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Čebelica Šentjernej,Vrtec Čebelica Šentjernej,Jugovzhodna Slovenija,Šentjernej,2020-12-06,2020-12-14,2020-12-11,VRTEC,Sum na okužbo,srednje,2020_50
Vrtec Manka Golarja Gornja Radgona,Vrtec Manka Golarja Gornja Radgona,Pomurska,Gornja Radgona,2020-12-10,2020-12-19,2020-12-12,VRTEC,Okužba s Covid-19,srednje,2020_50
Vrtec Lendava Lendvai Ovoda,"Vrtec Lendava Lendvai Ovoda, DE II LENDAVA",Pomurska,Lendava,2020-12-11,2020-12-20,2020-12-14,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Pedenjped Novo mesto,"Vrtec Pedenjped Novo mesto, PEDENJPED",Jugovzhodna Slovenija,Novo mesto,2020-12-09,2020-12-18,2020-12-14,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Jesenice,"Vrtec Jesenice, VVE Cilke Zupančič",Gorenjska,Jesenice,2020-12-11,2020-12-20,2020-12-14,VRTEC,Sum na okužbo,srednje,2020_51
Osnovna šola Toneta Pavčka,"Osnovna šola Toneta Pavčka, Vrtec Cepetavček",Jugovzhodna Slovenija,Mirna Peč,2020-12-12,2020-12-21,2020-12-14,VRTEC,Sum na okužbo,srednje,2020_51
Osnovna šola Franceta Bevka,Osnovna šola Franceta Bevka,Osrednjeslovenska,Ljubljana,2020-12-12,2020-12-22,2020-12-14,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_51
Osnovna šola Ferda Vesela Šentvid pri Stični,Osnovna šola Ferda Vesela Šentvid pri Stični,Osrednjeslovenska,Ivančna Gorica,2020-12-14,2020-12-24,2020-12-14,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_51
Osnovna šola Prebold,"Osnovna šola Prebold, enota Vrtec",Savinjska,Prebold,2020-12-11,2020-12-21,2020-12-14,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Miškolin,"Vrtec Miškolin, enota Zajčja Dobrava 2",Osrednjeslovenska,Ljubljana,2020-12-11,2020-12-20,2020-12-15,VRTEC,Sum na okužbo,srednje,2020_51
"JVIZ Mozirje, OE Vrtec Mozirje","JVIZ Mozirje, OE Vrtec Mozirje, DE Rečica ob Savinji",Savinjska,Rečica ob Savinji,2020-12-08,2020-12-17,2020-12-15,VRTEC,Okužba s Covid-19,srednje,2020_51
Vrtec Ciciban Sevnica,"Vrtec Ciciban Sevnica, Centralni vrtec",Posavska,Sevnica,2020-12-10,2020-12-19,2020-12-15,VRTEC,Sum na okužbo,srednje,2020_51
"JVIZ Mozirje, OE Vrtec Mozirje","JVIZ Mozirje, OE Vrtec Mozirje, DE Rečica ob Savinji",Savinjska,Rečica ob Savinji,2020-12-08,2020-12-17,2020-12-15,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Mojca Ljubljana,VRTEC MOJCA ENOTA ROŽLE,Osrednjeslovenska,Ljubljana,2020-12-12,2020-12-21,2020-12-15,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Antona Medveda Kamnik,"Vrtec  Antona Medveda Kamnik, enota Pestrna",Osrednjeslovenska,Kamnik,2020-12-15,2020-12-24,2020-12-16,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Zagorje ob Savi,"Vrtec Zagorje ob Savi, Enota Smrkci",Zasavska,Zagorje ob Savi,2020-12-09,2020-12-19,2020-12-16,VRTEC,Sum na okužbo,srednje,2020_51
"VRTEC TEZNO- UPRAVA , ENOTA MIŠMAŠ","VRTEC TEZNO, ENOTA MEHURČKI",Podravska,Maribor,2020-12-11,2020-12-20,2020-12-16,VRTEC,Sum na okužbo,srednje,2020_51
Osnovna šola Zreče,Osnovna šola Zreče,Savinjska,Zreče,2020-12-16,2020-12-26,2020-12-16,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_51
Vrtec Zagorje ob Savi,"Vrtec Zagorje ob Savi, Enota Smrkci",Zasavska,Zagorje ob Savi,2020-12-16,2020-12-26,2020-12-16,VRTEC,Sum na okužbo,srednje,2020_51
Osnovna šola Podčetrtek,"Osnovna šola Podčetrtek, Vrtec Podčetrtek z oddelki v Podčetrtku in Pristavi pri Mestinju",Savinjska,Podčetrtek,2020-12-16,2020-12-26,2020-12-17,VRTEC,Sum na okužbo,srednje,2020_51
Osnovna šola Belokranjskega odreda Semič,"Osnovna šola Belokranjskega odreda Semič, enota vrtec Sonček",Jugovzhodna Slovenija,Semič,2020-12-17,2020-12-27,2020-12-17,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota BIBE",Jugovzhodna Slovenija,Novo mesto,2020-12-11,2020-12-21,2020-12-17,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota LABOD",Jugovzhodna Slovenija,Novo mesto,2020-12-14,2020-12-24,2020-12-17,VRTEC,Sum na okužbo,srednje,2020_51
Osnovna šola Dolenjske Toplice,"Osnovna šola Dolenjske Toplice, Vrtec Gumbek",Jugovzhodna Slovenija,Dolenjske Toplice,2020-12-16,2020-12-26,2020-12-17,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota KEKEC",Jugovzhodna Slovenija,Novo mesto,2020-12-13,2020-12-23,2020-12-17,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Otona Župančiča Slovenska Bistrica,"Vrtec Otona Župančiča Slovenska Bistrica, Enota Sonček",Podravska,Slovenska Bistrica,2020-12-08,2020-12-17,2020-12-17,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Otona Župančiča Slovenska Bistrica,"Vrtec Otona Župančiča Slovenska Bistrica, Enota Sonček",Podravska,Slovenska Bistrica,2020-12-07,2020-12-16,2020-12-17,VRTEC,Sum na okužbo,srednje,2020_51
Vrtec Antona Medveda Kamnik,"Vrtec  Antona Medveda Kamnik, enota Rožle",Osrednjeslovenska,Kamnik,2020-12-18,2020-12-27,2020-12-18,VRTEC,Sum na okužbo,srednje,2020_51
Osnovna šola Miroslava Vilharja Postojna,"Osnovna šola Miroslava Vilharja, Podružnična šola s prilagojenim uč.prog.",Primorsko-notranjska,Postojna,2020-12-12,2020-12-21,2020-12-18,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_51
