VNOS,REGIJA,OBDOBJE,STEV_UCENCEV,VZROK,TRAJANJE
2021-02-08,Severna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,kratko trajanje
2021-02-08,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-08,Vzhodna Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-02-08,Osrednja Slovenija,SREDNJA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-02-08,Vzhodna Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-02-08,Osrednja Slovenija,SREDNJA ŠOLA,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-08,Osrednja Slovenija,SREDNJA ŠOLA,zelo malo,Sum na okužbo pri delavcu,srednje trajanje
2021-02-09,Osrednja Slovenija,VRTEC,srednje,Okužba pri delavcu,kratko trajanje
2021-02-09,Vzhodna Slovenija,VRTEC,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Vzhodna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri delavcu,srednje trajanje
2021-02-09,Vzhodna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri delavcu,srednje trajanje
2021-02-09,Severna Slovenija,VRTEC,veliko,Okužba pri delavcu,srednje trajanje
2021-02-09,Vzhodna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Osrednja Slovenija,OSTALO,zelo malo,Okužba pri delavcu,kratko trajanje
2021-02-09,Vzhodna Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-02-09,Zahodna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Vzhodna Slovenija,VRTEC,malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Osrednja Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-02-09,Vzhodna Slovenija,OSNOVNA ŠOLA,malo,Okužba pri delavcu,srednje trajanje
2021-02-09,Osrednja Slovenija,GLASBENA ŠOLA,zelo veliko,Okužba pri delavcu,srednje trajanje
2021-02-09,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri delavcu,kratko trajanje
2021-02-09,Vzhodna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Osrednja Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri delavcu,srednje trajanje
2021-02-09,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Severna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-02-09,Osrednja Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Zahodna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri delavcu,kratko trajanje
2021-02-09,Zahodna Slovenija,VRTEC,veliko,Okužba pri delavcu,srednje trajanje
2021-02-09,Osrednja Slovenija,OSNOVNA ŠOLA,malo,Okužba pri delavcu,srednje trajanje
2021-02-09,Vzhodna Slovenija,VRTEC,malo,Okužba pri otroku / učencu / dijaku,kratko trajanje
2021-02-09,Severna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-02-09,Zahodna Slovenija,OSTALO,zelo malo,Okužba pri delavcu,srednje trajanje
2021-02-09,Vzhodna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko trajanje
2021-02-09,Zahodna Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-02-09,Vzhodna Slovenija,VRTEC,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Zahodna Slovenija,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-02-09,Vzhodna Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-02-09,Osrednja Slovenija,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,kratko trajanje
2021-02-10,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri delavcu,kratko trajanje
2021-02-10,Vzhodna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri delavcu,srednje trajanje
2021-02-10,Zahodna Slovenija,VRTEC,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje trajanje
2021-02-10,Zahodna Slovenija,OSTALO,zelo malo,Okužba pri delavcu,kratko trajanje
2021-02-10,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-02-10,Zahodna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri delavcu,srednje trajanje
2021-02-10,Osrednja Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-02-10,Severna Slovenija,VRTEC,veliko,Okužba pri delavcu,srednje trajanje
2021-02-10,Osrednja Slovenija,VRTEC,malo,Sum na okužbo pri delavcu,kratko trajanje
2021-02-10,Zahodna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri delavcu,srednje trajanje
2021-02-10,Zahodna Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-02-10,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri delavcu,srednje trajanje
2021-02-10,Osrednja Slovenija,OSTALO,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
