VNOS,REGIJA,OBDOBJE,STEV_UCENCEV,VZROK,TRAJANJE
2020-12-07,Vzhodna Slovenija,OSTALO,malo,Okužba pri delavcu,kratko trajanje
2020-12-07,Zahodna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2020-12-07,Osrednja Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2020-12-07,Zahodna Slovenija,VRTEC,zelo malo,Sum na okužbo pri delavcu,kratko trajanje
2020-12-07,Vzhodna Slovenija,OSTALO,malo,Sum na okužbo pri delavcu,kratko trajanje
2020-12-08,Vzhodna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2020-12-08,Osrednja Slovenija,VRTEC,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2020-12-08,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2020-12-08,Osrednja Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2020-12-08,Zahodna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2020-12-09,Severna Slovenija,VRTEC,zelo malo,Sum na okužbo pri delavcu,srednje trajanje
2020-12-09,Osrednja Slovenija,VRTEC,srednje,Okužba pri delavcu,kratko trajanje
2020-12-10,Zahodna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2020-12-10,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2020-12-10,Osrednja Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2020-12-10,Osrednja Slovenija,VRTEC,srednje,Okužba pri delavcu,kratko trajanje
2020-12-10,Vzhodna Slovenija,VRTEC,zelo malo,Okužba pri otroku / učencu / dijaku,kratko trajanje
2020-12-10,Vzhodna Slovenija,VRTEC,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2020-12-10,Osrednja Slovenija,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2020-12-11,Severna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,kratko trajanje
2020-12-11,Vzhodna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2020-12-11,Osrednja Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
