REGIJA,OBDOBJE,STEV_UCENCEV,VZROK,TRAJANJE
Eastern Slovenia,VRTEC,srednje,Okužba pri zaposlenem,srednje
Central Slovenia,VRTEC,malo,Okužba pri zaposlenem,srednje
Eastern Slovenia,VRTEC,malo,Okužba pri zaposlenem,srednje
Western Slovenia,VRTEC,srednje,Okužba pri zaposlenem,srednje
Eastern Slovenia,VRTEC,malo,Sum na okužbo pri zaposlenem,srednje
Western Slovenia,VRTEC,malo,Okužba pri zaposlenem,srednje
Western Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,VRTEC,srednje,Okužba pri zaposlenem,srednje
Eastern Slovenia,VRTEC,malo,Sum na okužbo pri otroku / učencu / dijaku,srednje
Eastern Slovenia,VRTEC,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje
Western Slovenia,OSNOVNA ŠOLA,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje
