VNOS,REGIJA,OBDOBJE,STEV_UCENCEV,VZROK,TRAJANJE
2021-04-05,Vzhodna Slovenija,SREDNJA ŠOLA,srednje,Okužba pri delavcu,srednje trajanje
2021-04-05,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Sum na okužbo pri otroku / učencu / dijaku,srednje trajanje
2021-04-05,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-05,Vzhodna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-06,Zahodna Slovenija,SREDNJA ŠOLA,zelo malo,Okužba s Covid-19 pri predavatelju,srednje trajanje
2021-04-06,Vzhodna Slovenija,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko trajanje
2021-04-06,Osrednja Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-04-06,Osrednja Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba s Covid-19 pri učitelju,srednje trajanje
2021-04-06,Severna Slovenija,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-06,Zahodna Slovenija,OSNOVNA ŠOLA,veliko,Okužba s Covid-19 pri učitelju,srednje trajanje
2021-04-06,Osrednja Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-06,Vzhodna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-06,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-06,Severna Slovenija,SREDNJA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-06,Osrednja Slovenija,VRTEC,malo,Okužba s Covid-19 pri vzgojitelju,srednje trajanje
2021-04-06,Severna Slovenija,VRTEC,malo,Sum na okužbo pri otroku / učencu / dijaku,srednje trajanje
2021-04-07,Vzhodna Slovenija,OSNOVNA ŠOLA,zelo malo,Sum na okužbo pri otroku / učencu / dijaku,srednje trajanje
2021-04-07,Vzhodna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-07,Vzhodna Slovenija,OSTALO,zelo malo,Okužba s Covid-19 pri učitelju,srednje trajanje
2021-04-07,Vzhodna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-07,Osrednja Slovenija,OSNOVNA ŠOLA,srednje,Okužba s Covid-19 pri učitelju,srednje trajanje
2021-04-07,Zahodna Slovenija,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-07,Osrednja Slovenija,VRTEC,malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-07,Osrednja Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-07,Severna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-07,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba s Covid-19 pri učitelju,kratko trajanje
2021-04-08,Zahodna Slovenija,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-08,Severna Slovenija,VRTEC,malo,Sum na okužbo s Covid-19 pri učitelju,srednje trajanje
2021-04-09,Osrednja Slovenija,OSTALO,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-09,Osrednja Slovenija,SREDNJA ŠOLA,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-09,Osrednja Slovenija,OSTALO,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-09,Osrednja Slovenija,VRTEC,zelo malo,Okužba s Covid-19 pri vzgojitelju,srednje trajanje
2021-04-09,Severna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-04-09,Vzhodna Slovenija,VRTEC,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
