VNOS,REGIJA,OBDOBJE,STEV_UCENCEV,VZROK,TRAJANJE
2021-05-03,Vzhodna Slovenija,VRTEC,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-05-03,Zahodna Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-05-03,Vzhodna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-05-03,Vzhodna Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-05-03,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-05-03,Severna Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-05-03,Osrednja Slovenija,VRTEC,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-05-04,Vzhodna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-05-04,Zahodna Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-05-04,Severna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-05-04,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-05-04,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri delavcu,srednje trajanje
2021-05-04,Vzhodna Slovenija,SREDNJA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-05-04,Vzhodna Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-05-04,Vzhodna Slovenija,OSTALO,zelo malo,Sum na okužbo pri otroku / učencu / dijaku,kratko trajanje
2021-05-04,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-05-04,Vzhodna Slovenija,OSNOVNA ŠOLA,malo,Okužba pri delavcu,srednje trajanje
2021-05-04,Zahodna Slovenija,VRTEC,malo,Okužba pri otroku / učencu / dijaku,kratko trajanje
2021-05-04,Osrednja Slovenija,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-05-05,Osrednja Slovenija,SREDNJA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-05-05,Osrednja Slovenija,VRTEC,veliko,Okužba pri delavcu,kratko trajanje
2021-05-05,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri delavcu,kratko trajanje
2021-05-05,Osrednja Slovenija,OSNOVNA ŠOLA,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje trajanje
