Rule,Confidence
{SREDNJA ŠOLA} => {VRTEC},1.0
{SREDNJA ŠOLA} => {Okužba s Covid-19 pri otroku ali več otrocih skupine},1.0
{Okužba s Covid-19 pri dijaku ali več dijakih oddelka} => {Okužba s Covid-19 pri otroku ali več otrocih skupine},1.0
{Okužba s Covid-19 pri dijaku ali več dijakih oddelka} => {VRTEC},1.0
{Okužba s Covid-19 pri dijaku ali več dijakih oddelka} => {srednje},1.0
{SREDNJA ŠOLA} => {srednje},1.0
{Jugovzhodna Slovenija} => {Jugovzhodna Slovenija},1.0
{veliko} => {VRTEC},1.0
{veliko} => {Okužba s Covid-19 pri otroku ali več otrocih skupine},1.0
{veliko} => {srednje},1.0
{Jugovzhodna Slovenija} => {VRTEC},1.0
{Jugovzhodna Slovenija} => {Okužba s Covid-19 pri otroku ali več otrocih skupine},1.0
{Jugovzhodna Slovenija} => {srednje},1.0
{srednje} => {Jugovzhodna Slovenija},1.0
{SREDNJA ŠOLA} => {Jugovzhodna Slovenija},1.0
{Okužba s Covid-19 pri dijaku ali več dijakih oddelka} => {Jugovzhodna Slovenija},1.0
{srednje} => {VRTEC},1.0
{srednje} => {Okužba s Covid-19 pri otroku ali več otrocih skupine},1.0
{veliko} => {Jugovzhodna Slovenija},1.0
{srednje} => {srednje},1.0
"{Jugovzhodna Slovenija, Okužba s Covid-19 pri dijaku ali več dijakih oddelka} => {Okužba s Covid-19 pri otroku ali več otrocih skupine}",1.0
"{Jugovzhodna Slovenija, srednje} => {srednje}",1.0
"{SREDNJA ŠOLA, srednje} => {VRTEC}",1.0
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka} => {VRTEC, srednje}",1.0
"{SREDNJA ŠOLA, srednje} => {srednje}",1.0
"{Jugovzhodna Slovenija, veliko} => {VRTEC}",1.0
"{Jugovzhodna Slovenija, veliko} => {srednje}",1.0
"{veliko} => {VRTEC, srednje}",1.0
