Sequence,Support,Relative Frequency
"{srednje}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {1. letnik}",6,0.5454545454545454
"{veliko}, {srednje}, {zelo malo}",6,0.5454545454545454
"{veliko}, {srednje}, {malo}",6,0.5454545454545454
"{srednje}, {veliko}, {1. letnik}",6,0.5454545454545454
"{veliko}, {9 days}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days}",6,0.5454545454545454
"{srednje}, {10 days, srednje}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}, {srednje}",7,0.6363636363636364
"{srednje}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {9 days}",6,0.5454545454545454
"{malo}, {zelo malo}, {srednje}",6,0.5454545454545454
"{zelo malo}, {srednje}, {srednje}",6,0.5454545454545454
"{malo}, {10 days}, {zelo malo}",6,0.5454545454545454
"{2. star. obd., srednje}, {srednje}",7,0.6363636363636364
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {10 days}, {2. star. obd.}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}, {Okužba s Covid-19 pri drugem strokovnem delavcu}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days}",6,0.5454545454545454
"{srednje}, {veliko}, {zelo malo}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {5 days}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}, {malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri drugem strokovnem delavcu, veliko}",6,0.5454545454545454
"{10 days}, {zelo malo}, {srednje}",6,0.5454545454545454
"{malo}, {10 days}, {srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}, {1. letnik}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {10 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{4. letnik, Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}",6,0.5454545454545454
