Sequence,Support,Relative Frequency
{veliko},1,0.3333333333333333
{srednje},2,0.6666666666666666
{srednje trajanje},3,1.0
{SREDNJA ŠOLA},1,0.3333333333333333
{Goriška},1,0.3333333333333333
{OSNOVNA ŠOLA},2,0.6666666666666666
{Podravska},1,0.3333333333333333
{Pomurska},1,0.3333333333333333
{Okužba pri otroku / učencu / dijaku},3,1.0
"{SREDNJA ŠOLA}, {Podravska}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {Pomurska}",1,0.3333333333333333
"{OSNOVNA ŠOLA}, {srednje trajanje}",2,0.6666666666666666
"{srednje}, {Goriška}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {veliko}",1,0.3333333333333333
"{Podravska}, {veliko}",1,0.3333333333333333
"{Goriška}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{Podravska}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {OSNOVNA ŠOLA}",2,0.6666666666666666
"{SREDNJA ŠOLA}, {veliko}",1,0.3333333333333333
"{OSNOVNA ŠOLA}, {Goriška}",1,0.3333333333333333
"{Goriška}, {OSNOVNA ŠOLA}",1,0.3333333333333333
"{SREDNJA ŠOLA}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {srednje}",2,0.6666666666666666
"{Pomurska}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{Goriška}, {srednje}",1,0.3333333333333333
"{srednje trajanje}, {Goriška}",1,0.3333333333333333
"{veliko}, {srednje trajanje}",1,0.3333333333333333
"{srednje}, {Pomurska}",1,0.3333333333333333
"{srednje}, {Okužba pri otroku / učencu / dijaku}",2,0.6666666666666666
"{Pomurska}, {OSNOVNA ŠOLA}",1,0.3333333333333333
"{srednje trajanje}, {SREDNJA ŠOLA}",1,0.3333333333333333
"{srednje}, {OSNOVNA ŠOLA}",2,0.6666666666666666
"{OSNOVNA ŠOLA}, {Pomurska}",1,0.3333333333333333
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}",2,0.6666666666666666
"{Okužba pri otroku / učencu / dijaku}, {srednje trajanje}",3,1.0
"{Pomurska}, {srednje}",1,0.3333333333333333
"{Goriška}, {srednje trajanje}",1,0.3333333333333333
"{Podravska}, {srednje trajanje}",1,0.3333333333333333
"{srednje trajanje}, {Podravska}",1,0.3333333333333333
"{veliko}, {SREDNJA ŠOLA}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {Goriška}",1,0.3333333333333333
"{SREDNJA ŠOLA}, {srednje trajanje}",1,0.3333333333333333
"{srednje trajanje}, {veliko}",1,0.3333333333333333
"{srednje trajanje}, {Pomurska}",1,0.3333333333333333
"{srednje trajanje}, {Okužba pri otroku / učencu / dijaku}",3,1.0
"{veliko}, {Podravska}",1,0.3333333333333333
"{OSNOVNA ŠOLA}, {srednje}",2,0.6666666666666666
"{Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}",1,0.3333333333333333
"{srednje trajanje}, {OSNOVNA ŠOLA}",2,0.6666666666666666
"{veliko}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{Podravska}, {SREDNJA ŠOLA}",1,0.3333333333333333
"{Pomurska}, {srednje trajanje}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {Podravska}",1,0.3333333333333333
"{srednje}, {srednje trajanje}",2,0.6666666666666666
"{srednje trajanje}, {srednje}",2,0.6666666666666666
"{srednje trajanje}, {Okužba pri otroku / učencu / dijaku}, {srednje}",2,0.6666666666666666
"{Podravska}, {veliko}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{srednje trajanje}, {SREDNJA ŠOLA}, {veliko}",1,0.3333333333333333
"{Podravska}, {Okužba pri otroku / učencu / dijaku}, {veliko}",1,0.3333333333333333
"{srednje trajanje}, {Pomurska}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{Goriška}, {srednje trajanje}, {OSNOVNA ŠOLA}",1,0.3333333333333333
"{srednje trajanje}, {srednje}, {Pomurska}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {veliko}, {Podravska}",1,0.3333333333333333
"{SREDNJA ŠOLA}, {veliko}, {srednje trajanje}",1,0.3333333333333333
"{veliko}, {srednje trajanje}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{srednje trajanje}, {srednje}, {OSNOVNA ŠOLA}",2,0.6666666666666666
"{Goriška}, {Okužba pri otroku / učencu / dijaku}, {OSNOVNA ŠOLA}",1,0.3333333333333333
"{SREDNJA ŠOLA}, {Podravska}, {srednje trajanje}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {OSNOVNA ŠOLA}, {srednje}",2,0.6666666666666666
"{Okužba pri otroku / učencu / dijaku}, {Pomurska}, {srednje trajanje}",1,0.3333333333333333
"{srednje}, {OSNOVNA ŠOLA}, {Pomurska}",1,0.3333333333333333
"{srednje trajanje}, {Okužba pri otroku / učencu / dijaku}, {Goriška}",1,0.3333333333333333
"{srednje trajanje}, {veliko}, {Podravska}",1,0.3333333333333333
"{veliko}, {SREDNJA ŠOLA}, {Podravska}",1,0.3333333333333333
"{SREDNJA ŠOLA}, {veliko}, {Podravska}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {Podravska}, {SREDNJA ŠOLA}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {srednje}, {Goriška}",1,0.3333333333333333
"{OSNOVNA ŠOLA}, {Pomurska}, {srednje trajanje}",1,0.3333333333333333
"{SREDNJA ŠOLA}, {srednje trajanje}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{Pomurska}, {srednje trajanje}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{srednje}, {srednje trajanje}, {Okužba pri otroku / učencu / dijaku}",2,0.6666666666666666
"{OSNOVNA ŠOLA}, {srednje trajanje}, {Okužba pri otroku / učencu / dijaku}",2,0.6666666666666666
"{Okužba pri otroku / učencu / dijaku}, {Goriška}, {srednje}",1,0.3333333333333333
"{Goriška}, {Okužba pri otroku / učencu / dijaku}, {srednje trajanje}",1,0.3333333333333333
"{srednje trajanje}, {srednje}, {Goriška}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {Podravska}, {veliko}",1,0.3333333333333333
"{Podravska}, {veliko}, {SREDNJA ŠOLA}",1,0.3333333333333333
"{Podravska}, {SREDNJA ŠOLA}, {srednje trajanje}",1,0.3333333333333333
"{SREDNJA ŠOLA}, {Podravska}, {veliko}",1,0.3333333333333333
"{srednje}, {Goriška}, {OSNOVNA ŠOLA}",1,0.3333333333333333
"{veliko}, {srednje trajanje}, {SREDNJA ŠOLA}",1,0.3333333333333333
"{srednje trajanje}, {SREDNJA ŠOLA}, {Podravska}",1,0.3333333333333333
"{Pomurska}, {OSNOVNA ŠOLA}, {srednje trajanje}",1,0.3333333333333333
"{srednje}, {OSNOVNA ŠOLA}, {srednje trajanje}",2,0.6666666666666666
"{Okužba pri otroku / učencu / dijaku}, {Pomurska}, {OSNOVNA ŠOLA}",1,0.3333333333333333
"{srednje trajanje}, {Podravska}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{veliko}, {Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}",1,0.3333333333333333
"{OSNOVNA ŠOLA}, {srednje}, {Okužba pri otroku / učencu / dijaku}",2,0.6666666666666666
"{srednje trajanje}, {Pomurska}, {OSNOVNA ŠOLA}",1,0.3333333333333333
"{srednje}, {Pomurska}, {OSNOVNA ŠOLA}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {srednje trajanje}, {SREDNJA ŠOLA}",1,0.3333333333333333
"{Goriška}, {OSNOVNA ŠOLA}, {srednje trajanje}",1,0.3333333333333333
"{Okužba pri otroku / učencu / dijaku}, {Podravska}, {srednje trajanje}",1,0.3333333333333333
"{Pomurska}, {srednje}, {Okužba pri otroku / učencu / dijaku}",1,0.3333333333333333
"{srednje}, {Goriška}, {srednje trajanje}",1,0.3333333333333333
"{Podravska}, {SREDNJA ŠOLA}, {veliko}",1,0.3333333333333333
"{OSNOVNA ŠOLA}, {Goriška}, {srednje trajanje}",1,0.3333333333333333
