Sequence,Support,Relative Frequency
"{OSNOVNA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {VRTEC}, {malo}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {malo}, {veliko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}, {veliko}",3,1.0
"{VRTEC}, {kratko}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}, {kratko}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {dolgo}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri zaposlenem}, {veliko}",3,1.0
"{Okužba pri zaposlenem}, {kratko}, {malo}",3,1.0
"{SREDNJA ŠOLA}, {VRTEC}, {dolgo}",3,1.0
"{SREDNJA ŠOLA}, {VRTEC}, {malo}",3,1.0
"{VRTEC}, {kratko}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}, {kratko}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {VRTEC}, {kratko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {kratko}, {srednje}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {malo}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}",3,1.0
"{Okužba pri zaposlenem}, {SREDNJA ŠOLA}, {veliko}",3,1.0
"{dolgo}, {malo}, {srednje}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {dolgo}, {malo}",3,1.0
"{Sum na okužbo pri zaposlenem}, {VRTEC}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}, {VRTEC}",3,1.0
"{SREDNJA ŠOLA}, {srednje}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {malo}, {veliko}",3,1.0
"{kratko}, {srednje}, {veliko}",3,1.0
"{VRTEC}, {dolgo}, {srednje}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}, {srednje}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {dolgo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {srednje}",3,1.0
"{VRTEC}, {dolgo}, {kratko}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {kratko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {dolgo}, {kratko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {kratko}, {malo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {dolgo}, {veliko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {dolgo}, {malo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {veliko}",3,1.0
"{Okužba pri zaposlenem}, {VRTEC}, {dolgo}",3,1.0
"{Okužba pri zaposlenem}, {VRTEC}, {malo}",3,1.0
