Sequence,Support,Relative Frequency
{zelo malo},3,0.375
{malo},5,0.625
{VRTEC},8,1.0
{srednje trajanje},8,1.0
{Obalno-kraška},3,0.375
{Podravska},3,0.375
{Okužba s Covid-19 pri vzgojitelju},4,0.5
"{VRTEC}, {srednje trajanje}",8,1.0
"{VRTEC}, {Obalno-kraška}",3,0.375
"{srednje trajanje}, {zelo malo}",3,0.375
"{srednje trajanje}, {VRTEC}",8,1.0
"{VRTEC}, {Okužba s Covid-19 pri vzgojitelju}",4,0.5
"{srednje trajanje}, {Obalno-kraška}",3,0.375
"{malo}, {srednje trajanje}",5,0.625
"{malo}, {VRTEC}",5,0.625
"{VRTEC}, {malo}",5,0.625
"{VRTEC}, {Podravska}",3,0.375
"{srednje trajanje}, {Okužba s Covid-19 pri vzgojitelju}",4,0.5
"{srednje trajanje}, {malo}",5,0.625
"{Podravska}, {srednje trajanje}",3,0.375
"{srednje trajanje}, {Podravska}",3,0.375
"{Podravska}, {VRTEC}",3,0.375
"{Obalno-kraška}, {srednje trajanje}",3,0.375
"{Obalno-kraška}, {VRTEC}",3,0.375
"{Okužba s Covid-19 pri vzgojitelju}, {srednje trajanje}",4,0.5
"{Okužba s Covid-19 pri vzgojitelju}, {VRTEC}",4,0.5
"{zelo malo}, {srednje trajanje}",3,0.375
"{zelo malo}, {VRTEC}",3,0.375
"{VRTEC}, {zelo malo}",3,0.375
"{VRTEC}, {Obalno-kraška}, {srednje trajanje}",3,0.375
"{malo}, {VRTEC}, {srednje trajanje}",5,0.625
"{srednje trajanje}, {VRTEC}, {Obalno-kraška}",3,0.375
"{VRTEC}, {zelo malo}, {srednje trajanje}",3,0.375
"{srednje trajanje}, {malo}, {VRTEC}",5,0.625
"{srednje trajanje}, {zelo malo}, {VRTEC}",3,0.375
"{srednje trajanje}, {VRTEC}, {Okužba s Covid-19 pri vzgojitelju}",4,0.5
"{malo}, {srednje trajanje}, {VRTEC}",5,0.625
"{Podravska}, {VRTEC}, {srednje trajanje}",3,0.375
"{srednje trajanje}, {VRTEC}, {malo}",5,0.625
"{VRTEC}, {malo}, {srednje trajanje}",5,0.625
"{srednje trajanje}, {VRTEC}, {Podravska}",3,0.375
"{zelo malo}, {VRTEC}, {srednje trajanje}",3,0.375
"{Podravska}, {srednje trajanje}, {VRTEC}",3,0.375
"{VRTEC}, {srednje trajanje}, {zelo malo}",3,0.375
"{Obalno-kraška}, {VRTEC}, {srednje trajanje}",3,0.375
"{srednje trajanje}, {Podravska}, {VRTEC}",3,0.375
"{Okužba s Covid-19 pri vzgojitelju}, {VRTEC}, {srednje trajanje}",4,0.5
"{Obalno-kraška}, {srednje trajanje}, {VRTEC}",3,0.375
"{srednje trajanje}, {Obalno-kraška}, {VRTEC}",3,0.375
"{VRTEC}, {srednje trajanje}, {Obalno-kraška}",3,0.375
"{zelo malo}, {srednje trajanje}, {VRTEC}",3,0.375
"{VRTEC}, {Podravska}, {srednje trajanje}",3,0.375
"{srednje trajanje}, {Okužba s Covid-19 pri vzgojitelju}, {VRTEC}",4,0.5
"{VRTEC}, {srednje trajanje}, {Okužba s Covid-19 pri vzgojitelju}",4,0.5
"{VRTEC}, {srednje trajanje}, {malo}",5,0.625
"{Okužba s Covid-19 pri vzgojitelju}, {srednje trajanje}, {VRTEC}",4,0.5
"{VRTEC}, {srednje trajanje}, {Podravska}",3,0.375
"{srednje trajanje}, {VRTEC}, {zelo malo}",3,0.375
"{VRTEC}, {Okužba s Covid-19 pri vzgojitelju}, {srednje trajanje}",4,0.5
