Rule,Confidence
{OSNOVNA ŠOLA} => {srednje},0.9166666666666666
{srednje} => {OSNOVNA ŠOLA},0.9166666666666666
{OSNOVNA ŠOLA} => {Sum na okužbo},0.9166666666666666
{Sum na okužbo} => {OSNOVNA ŠOLA},0.9166666666666666
{Okužba s Covid-19} => {kratko},0.8333333333333334
{kratko} => {Okužba s Covid-19},1.0
{SREDNJA ŠOLA} => {srednje},1.0
{srednje} => {SREDNJA ŠOLA},0.8333333333333334
{kratko} => {srednje},0.9
{srednje} => {kratko},0.75
{SREDNJA ŠOLA} => {Sum na okužbo},1.0
{Sum na okužbo} => {SREDNJA ŠOLA},0.8333333333333334
{Okužba s Covid-19} => {srednje},0.9166666666666666
{srednje} => {Okužba s Covid-19},0.9166666666666666
{OSNOVNA ŠOLA} => {Okužba s Covid-19},0.9166666666666666
{Okužba s Covid-19} => {OSNOVNA ŠOLA},0.9166666666666666
{Okužba s Covid-19} => {Sum na okužbo},1.0
{Sum na okužbo} => {Okužba s Covid-19},1.0
{Sum na okužbo} => {srednje},0.9166666666666666
{srednje} => {Sum na okužbo},0.9166666666666666
{Sum na okužbo} => {kratko},0.8333333333333334
{kratko} => {Sum na okužbo},1.0
{OSNOVNA ŠOLA} => {kratko},0.75
{kratko} => {OSNOVNA ŠOLA},0.9
{OSNOVNA ŠOLA} => {SREDNJA ŠOLA},0.75
{SREDNJA ŠOLA} => {OSNOVNA ŠOLA},0.9
"{Sum na okužbo} => {kratko}, {srednje}",0.75
"{kratko} => {Sum na okužbo}, {srednje}",0.9
"{srednje} => {Sum na okužbo}, {kratko}",0.75
"{Sum na okužbo}, {kratko} => {srednje}",0.9
"{Sum na okužbo}, {srednje} => {kratko}",0.8181818181818182
"{kratko}, {srednje} => {Sum na okužbo}",1.0
"{OSNOVNA ŠOLA} => {SREDNJA ŠOLA}, {srednje}",0.75
"{SREDNJA ŠOLA} => {OSNOVNA ŠOLA}, {srednje}",0.9
"{srednje} => {OSNOVNA ŠOLA}, {SREDNJA ŠOLA}",0.75
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA} => {srednje}",1.0
"{OSNOVNA ŠOLA}, {srednje} => {SREDNJA ŠOLA}",0.8181818181818182
"{SREDNJA ŠOLA}, {srednje} => {OSNOVNA ŠOLA}",0.9
"{Okužba s Covid-19} => {Sum na okužbo}, {srednje}",0.75
"{Sum na okužbo} => {Okužba s Covid-19}, {srednje}",0.75
"{srednje} => {Okužba s Covid-19}, {Sum na okužbo}",0.75
"{Okužba s Covid-19}, {Sum na okužbo} => {srednje}",0.75
"{Okužba s Covid-19}, {srednje} => {Sum na okužbo}",0.8181818181818182
"{Sum na okužbo}, {srednje} => {Okužba s Covid-19}",0.8181818181818182
"{OSNOVNA ŠOLA} => {SREDNJA ŠOLA}, {Sum na okužbo}",0.75
"{SREDNJA ŠOLA} => {OSNOVNA ŠOLA}, {Sum na okužbo}",0.9
"{Sum na okužbo} => {OSNOVNA ŠOLA}, {SREDNJA ŠOLA}",0.75
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA} => {Sum na okužbo}",1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo} => {SREDNJA ŠOLA}",0.8181818181818182
"{SREDNJA ŠOLA}, {Sum na okužbo} => {OSNOVNA ŠOLA}",0.9
"{OSNOVNA ŠOLA} => {Okužba s Covid-19}, {srednje}",0.75
"{Okužba s Covid-19} => {OSNOVNA ŠOLA}, {srednje}",0.75
"{srednje} => {OSNOVNA ŠOLA}, {Okužba s Covid-19}",0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19} => {srednje}",0.8181818181818182
"{OSNOVNA ŠOLA}, {srednje} => {Okužba s Covid-19}",0.8181818181818182
"{Okužba s Covid-19}, {srednje} => {OSNOVNA ŠOLA}",0.8181818181818182
"{OSNOVNA ŠOLA} => {Okužba s Covid-19}, {Sum na okužbo}",0.9166666666666666
"{Okužba s Covid-19} => {OSNOVNA ŠOLA}, {Sum na okužbo}",0.9166666666666666
"{Sum na okužbo} => {OSNOVNA ŠOLA}, {Okužba s Covid-19}",0.9166666666666666
"{OSNOVNA ŠOLA}, {Okužba s Covid-19} => {Sum na okužbo}",1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {Sum na okužbo} => {OSNOVNA ŠOLA}",0.9166666666666666
"{OSNOVNA ŠOLA} => {Sum na okužbo}, {srednje}",0.75
"{Sum na okužbo} => {OSNOVNA ŠOLA}, {srednje}",0.75
"{srednje} => {OSNOVNA ŠOLA}, {Sum na okužbo}",0.75
"{OSNOVNA ŠOLA}, {Sum na okužbo} => {srednje}",0.8181818181818182
"{OSNOVNA ŠOLA}, {srednje} => {Sum na okužbo}",0.8181818181818182
"{Sum na okužbo}, {srednje} => {OSNOVNA ŠOLA}",0.8181818181818182
