Sequence,Support,Relative Frequency
{Sum na okužbo},195,0.5416666666666666
{srednje trajanje},264,0.7333333333333333
{Okužba s Covid-19},165,0.4583333333333333
{OSNOVNA ŠOLA},185,0.5138888888888888
"{srednje trajanje}, {Sum na okužbo}",135,0.375
"{OSNOVNA ŠOLA}, {srednje trajanje}",122,0.3388888888888889
"{srednje trajanje}, {OSNOVNA ŠOLA}",122,0.3388888888888889
"{Sum na okužbo}, {srednje trajanje}",135,0.375
"{Okužba s Covid-19}, {srednje trajanje}",129,0.35833333333333334
"{srednje trajanje}, {Okužba s Covid-19}",129,0.35833333333333334
