Rule,Confidence
"{VRTEC}, {kratko} => {SREDNJA ŠOLA}",1.0
"{GLASBENA ŠOLA} => {Okužba s Covid-19}, {Sum na okužbo}",1.0
"{Okužba s Covid-19} => {GLASBENA ŠOLA}, {Sum na okužbo}",1.0
"{Sum na okužbo} => {GLASBENA ŠOLA}, {Okužba s Covid-19}",1.0
"{GLASBENA ŠOLA}, {Okužba s Covid-19} => {Sum na okužbo}",1.0
"{GLASBENA ŠOLA}, {Sum na okužbo} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {Sum na okužbo} => {GLASBENA ŠOLA}",1.0
"{OSNOVNA ŠOLA} => {Okužba s Covid-19}, {VRTEC}",1.0
"{Okužba s Covid-19} => {OSNOVNA ŠOLA}, {VRTEC}",1.0
"{VRTEC} => {OSNOVNA ŠOLA}, {Okužba s Covid-19}",1.0
"{OSNOVNA ŠOLA}, {Okužba s Covid-19} => {VRTEC}",1.0
"{OSNOVNA ŠOLA}, {VRTEC} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {VRTEC} => {OSNOVNA ŠOLA}",1.0
"{SREDNJA ŠOLA} => {Sum na okužbo}, {VRTEC}",1.0
"{Sum na okužbo} => {SREDNJA ŠOLA}, {VRTEC}",1.0
"{VRTEC} => {SREDNJA ŠOLA}, {Sum na okužbo}",1.0
"{SREDNJA ŠOLA}, {Sum na okužbo} => {VRTEC}",1.0
"{SREDNJA ŠOLA}, {VRTEC} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {VRTEC} => {SREDNJA ŠOLA}",1.0
"{OSNOVNA ŠOLA} => {SREDNJA ŠOLA}, {Sum na okužbo}",1.0
"{SREDNJA ŠOLA} => {OSNOVNA ŠOLA}, {Sum na okužbo}",1.0
"{Sum na okužbo} => {OSNOVNA ŠOLA}, {SREDNJA ŠOLA}",1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA} => {Sum na okužbo}",1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo} => {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA}, {Sum na okužbo} => {OSNOVNA ŠOLA}",1.0
"{GLASBENA ŠOLA} => {SREDNJA ŠOLA}, {dolgo}",1.0
"{SREDNJA ŠOLA} => {GLASBENA ŠOLA}, {dolgo}",1.0
"{dolgo} => {GLASBENA ŠOLA}, {SREDNJA ŠOLA}",1.0
"{GLASBENA ŠOLA}, {SREDNJA ŠOLA} => {dolgo}",1.0
"{GLASBENA ŠOLA}, {dolgo} => {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA}, {dolgo} => {GLASBENA ŠOLA}",1.0
"{SREDNJA ŠOLA} => {VRTEC}, {srednje}",1.0
"{VRTEC} => {SREDNJA ŠOLA}, {srednje}",1.0
"{srednje} => {SREDNJA ŠOLA}, {VRTEC}",1.0
"{SREDNJA ŠOLA}, {VRTEC} => {srednje}",1.0
"{SREDNJA ŠOLA}, {srednje} => {VRTEC}",1.0
"{VRTEC}, {srednje} => {SREDNJA ŠOLA}",1.0
"{GLASBENA ŠOLA} => {SREDNJA ŠOLA}, {Sum na okužbo}",1.0
"{SREDNJA ŠOLA} => {GLASBENA ŠOLA}, {Sum na okužbo}",1.0
"{Sum na okužbo} => {GLASBENA ŠOLA}, {SREDNJA ŠOLA}",1.0
"{GLASBENA ŠOLA}, {SREDNJA ŠOLA} => {Sum na okužbo}",1.0
"{GLASBENA ŠOLA}, {Sum na okužbo} => {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA}, {Sum na okužbo} => {GLASBENA ŠOLA}",1.0
"{OSNOVNA ŠOLA} => {Okužba s Covid-19}, {kratko}",1.0
"{Okužba s Covid-19} => {OSNOVNA ŠOLA}, {kratko}",1.0
"{kratko} => {OSNOVNA ŠOLA}, {Okužba s Covid-19}",1.0
"{OSNOVNA ŠOLA}, {Okužba s Covid-19} => {kratko}",1.0
"{OSNOVNA ŠOLA}, {kratko} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {kratko} => {OSNOVNA ŠOLA}",1.0
"{Okužba s Covid-19} => {SREDNJA ŠOLA}, {dolgo}",1.0
"{SREDNJA ŠOLA} => {Okužba s Covid-19}, {dolgo}",1.0
"{dolgo} => {Okužba s Covid-19}, {SREDNJA ŠOLA}",1.0
"{Okužba s Covid-19}, {SREDNJA ŠOLA} => {dolgo}",1.0
"{Okužba s Covid-19}, {dolgo} => {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA}, {dolgo} => {Okužba s Covid-19}",1.0
"{SREDNJA ŠOLA} => {Sum na okužbo}, {kratko}",1.0
"{Sum na okužbo} => {SREDNJA ŠOLA}, {kratko}",1.0
"{kratko} => {SREDNJA ŠOLA}, {Sum na okužbo}",1.0
"{SREDNJA ŠOLA}, {Sum na okužbo} => {kratko}",1.0
"{SREDNJA ŠOLA}, {kratko} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {kratko} => {SREDNJA ŠOLA}",1.0
"{GLASBENA ŠOLA} => {Okužba s Covid-19}, {VRTEC}",1.0
"{Okužba s Covid-19} => {GLASBENA ŠOLA}, {VRTEC}",1.0
"{VRTEC} => {GLASBENA ŠOLA}, {Okužba s Covid-19}",1.0
"{GLASBENA ŠOLA}, {Okužba s Covid-19} => {VRTEC}",1.0
"{GLASBENA ŠOLA}, {VRTEC} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {VRTEC} => {GLASBENA ŠOLA}",1.0
"{Okužba s Covid-19} => {SREDNJA ŠOLA}, {Sum na okužbo}",1.0
"{SREDNJA ŠOLA} => {Okužba s Covid-19}, {Sum na okužbo}",1.0
"{Sum na okužbo} => {Okužba s Covid-19}, {SREDNJA ŠOLA}",1.0
"{Okužba s Covid-19}, {SREDNJA ŠOLA} => {Sum na okužbo}",1.0
"{Okužba s Covid-19}, {Sum na okužbo} => {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA}, {Sum na okužbo} => {Okužba s Covid-19}",1.0
"{OSNOVNA ŠOLA} => {Okužba s Covid-19}, {srednje}",1.0
"{Okužba s Covid-19} => {OSNOVNA ŠOLA}, {srednje}",1.0
"{srednje} => {OSNOVNA ŠOLA}, {Okužba s Covid-19}",1.0
"{OSNOVNA ŠOLA}, {Okužba s Covid-19} => {srednje}",1.0
"{OSNOVNA ŠOLA}, {srednje} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {srednje} => {OSNOVNA ŠOLA}",1.0
"{Sum na okužbo} => {VRTEC}, {dolgo}",1.0
"{VRTEC} => {Sum na okužbo}, {dolgo}",1.0
"{dolgo} => {Sum na okužbo}, {VRTEC}",1.0
"{Sum na okužbo}, {VRTEC} => {dolgo}",1.0
"{Sum na okužbo}, {dolgo} => {VRTEC}",1.0
"{VRTEC}, {dolgo} => {Sum na okužbo}",1.0
"{SREDNJA ŠOLA} => {Sum na okužbo}, {srednje}",1.0
"{Sum na okužbo} => {SREDNJA ŠOLA}, {srednje}",1.0
"{srednje} => {SREDNJA ŠOLA}, {Sum na okužbo}",1.0
"{SREDNJA ŠOLA}, {Sum na okužbo} => {srednje}",1.0
"{SREDNJA ŠOLA}, {srednje} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {srednje} => {SREDNJA ŠOLA}",1.0
