Sequence,Support,Relative Frequency
{Učitelj},34,0.4533333333333333
{srednje trajanje},67,0.8933333333333333
{Sum na okužbo},24,0.32
{Osrednjeslovenska},23,0.30666666666666664
{Okužba s Covid-19},51,0.68
"{srednje trajanje}, {Učitelj}",29,0.38666666666666666
"{Učitelj}, {srednje trajanje}",29,0.38666666666666666
"{Okužba s Covid-19}, {srednje trajanje}",49,0.6533333333333333
"{Okužba s Covid-19}, {Učitelj}",26,0.3466666666666667
"{Učitelj}, {Okužba s Covid-19}",26,0.3466666666666667
"{srednje trajanje}, {Okužba s Covid-19}",49,0.6533333333333333
"{srednje trajanje}, {Okužba s Covid-19}, {Učitelj}",24,0.32
"{Učitelj}, {Okužba s Covid-19}, {srednje trajanje}",24,0.32
"{srednje trajanje}, {Učitelj}, {Okužba s Covid-19}",24,0.32
"{Učitelj}, {srednje trajanje}, {Okužba s Covid-19}",24,0.32
"{Okužba s Covid-19}, {Učitelj}, {srednje trajanje}",24,0.32
"{Okužba s Covid-19}, {srednje trajanje}, {Učitelj}",24,0.32
