Rule,Confidence
{Drugi strokovni delavec} => {srednje trajanje},0.8333333333333334
{Obalno-kraška} => {srednje trajanje},0.8333333333333334
{Okužba s Covid-19} => {Vzgojitelj},0.5
{Vzgojitelj} => {Okužba s Covid-19},1.0
{Vzgojitelj} => {srednje trajanje},1.0
{Podravska} => {srednje trajanje},1.0
{Okužba s Covid-19} => {srednje trajanje},1.0
{srednje trajanje} => {Okužba s Covid-19},0.8571428571428571
"{Vzgojitelj} => {Okužba s Covid-19}, {srednje trajanje}",1.0
"{Okužba s Covid-19} => {Vzgojitelj}, {srednje trajanje}",0.5
"{srednje trajanje}, {Vzgojitelj} => {Okužba s Covid-19}",1.0
"{srednje trajanje}, {Okužba s Covid-19} => {Vzgojitelj}",0.5
"{Vzgojitelj}, {Okužba s Covid-19} => {srednje trajanje}",1.0
"{Okužba s Covid-19}, {Vzgojitelj} => {srednje trajanje}",1.0
"{Okužba s Covid-19}, {srednje trajanje} => {Vzgojitelj}",0.5
"{Vzgojitelj}, {srednje trajanje} => {Okužba s Covid-19}",1.0
